Iso_code,Year,value
108,2005,23.4
108,2010,26.6
108,2011,29.6
108,2012,28.8
108,2013,27.2
108,2014,29.4
108,2015,30.5
108,2016,35.7
108,2017,36.2
108,2018,43.0
132,1990,41.6
132,1995,59.4
132,2000,64.7
132,2005,72.3
132,2010,76.1
132,2011,82.1
132,2012,83.2
132,2013,84.1
132,2014,85.2
132,2015,84.5
132,2016,83.7
132,2017,85.8
132,2018,82.6
116,1995,5.3
116,2000,6.4
116,2005,7.2
116,2010,22.7
116,2011,24.2
116,2012,33.8
116,2013,46.8
116,2014,55.7
116,2015,65.1
116,2016,71.1
116,2017,74.4
116,2018,85.7
120,1990,30.9
120,1995,15.8
120,2000,13.3
120,2005,12.7
120,2010,9.3
120,2011,12.1
120,2012,13.1
120,2013,14.2
120,2014,14.9
120,2015,13.9
120,2016,18.4
120,2017,16.6
120,2018,19.3
124,1990,100.6
124,1995,111.0
124,2000,111.1
124,2005,196.5
140,1990,13.2
140,1995,11.4
140,2000,12.0
140,2005,17.7
140,2010,21.0
140,2011,22.9
140,2012,22.9
140,2013,33.1
140,2014,30.4
140,2015,30.6
140,2016,29.0
140,2017,25.3
140,2018,28.1
148,1990,11.5
148,1995,9.9
148,2000,12.3
148,2005,6.4
148,2010,7.6
148,2011,6.1
148,2012,5.5
148,2013,7.3
148,2014,11.0
148,2015,17.7
148,2016,24.8
148,2017,25.2
148,2018,22.5
152,1990,66.9
152,1995,53.5
152,2000,71.3
152,2005,80.4
152,2010,104.5
152,2011,108.9
152,2012,112.5
152,2013,115.3
152,2014,119.3
152,2015,120.7
152,2016,126.1
152,2017,127.8
152,2018,131.8
156,1990,88.4
156,1995,86.9
156,2000,118.4
156,2005,132.6
156,2010,142.5
156,2011,141.0
156,2012,149.6
156,2013,156.3
156,2014,167.9
156,2015,194.3
156,2016,216.2
156,2017,216.9
156,2018,218.3
170,1990,30.7
170,1995,37.2
170,2000,30.4
170,2005,50.0
170,2010,66.2
170,2011,65.3
170,2012,69.4
170,2013,69.5
170,2014,70.4
170,2015,52.4
170,2016,53.2
170,2017,56.3
170,2018,55.5
174,1990,12.0
174,1995,9.8
174,2000,8.2
174,2005,6.6
174,2010,13.0
174,2011,12.7
174,2012,12.7
174,2013,14.4
174,2014,15.9
174,2015,14.7
174,2016,18.8
174,2017,18.3
174,2018,17.9
178,1990,29.1
178,1995,17.3
178,2000,8.7
178,2005,1.1
178,2010,-14.3
178,2011,-16.1
